Temp,Cpkg,Cp,Uncer,Ref,Reference,Atmosphere,Type,Molar mass,Lowest Temp,Highest Temp
40,,3.35975,0.0672,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
45,,4.50198,0.09004,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
50,,5.71953,0.1144,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
60,,8.17135,0.1634,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
70,,10.45163,0.209,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
80,,12.4725,0.1247,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
90,,14.24234,0.1424,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
100,,15.70255,0.157,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
110,,16.95357,0.1695,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
120,,18.02049,0.1802,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
130,,18.94097,0.1894,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
140,,19.74011,0.1974,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
150,,20.40118,0.204,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
160,,20.97439,0.2097,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
170,,21.47647,0.2148,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
180,,21.90742,0.2191,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
190,,22.3049,0.223,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
200,,22.66891,0.2267,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
210,,22.95761,0.2296,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
220,,23.2212,0.2322,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
230,,23.47642,0.2348,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
240,,23.71073,0.2371,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
250,,23.9283,0.2393,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
260,,24.12494,0.2412,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
270,,24.31322,0.2431,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
280,,24.48895,0.2449,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
290,,24.66886,0.2467,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
298.16,,24.80694,0.2481,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
300,,24.83622,0.2484,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
310,,24.97848,0.2498,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
320,,25.09563,0.251,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
343.15,,27.5726,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
343.15,,27.9073,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
430.15,,27.5726,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
373.15,,27.9491,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
374.15,,27.7399,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
374.15,,27.4889,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
374.15,,27.447,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
376.15,,27.5307,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
376.15,,27.6144,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
375.15,,27.6144,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
376.15,,27.991,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
376.15,,27.8236,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
376.15,,27.8654,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
376.15,,27.8654,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
416.15,,27.6562,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
416.15,,27.8236,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
314.15,,27.8654,1.4,27Dix,"Dixon, Alfred L.; Rodebush, Worth H. (1927) Journal of the American Chemical Society, pp 1162-1174",,Heat capacity at constant pressure Cp,,,
74.9,,12.1336,0.12,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
78.3,,12.6775,0.13,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
83.5,,13.9327,0.14,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
92.1,,15.1042,0.15,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
101.5,,16.6942,0.17,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
114.5,,18.7025,0.19,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
115.8,,18.577,0.19,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
132.7,,19.9577,0.2,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
155.2,,21.2547,0.21,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
172.4,,22.217,0.22,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
192.6,,23.2212,0.23,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
220,,24.3509,0.24,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
237.3,,24.3927,0.24,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
253.5,,25.0203,0.25,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
255.2,,24.5182,0.25,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
288.5,,25.5642,0.26,18Eas,"Eastman, E. D.; Rodebush, W. H.[Worth H.] (1918) Journal of the American Chemical Society, pp 489 - 500",vacuum,Heat capacity at constant pressure Cp,,,
12.62,,0.0826,0.0025,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
12.27,,0.0855,0.0026,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
11.84,,0.0699,0.0021,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
11.35,,0.0644,0.0019,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
10.83,,0.054,0.0016,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
10.3,,0.0434,0.0013,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
9.71,,0.0436,0.0013,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
9.1,,0.0383,0.0011,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
8.47,,0.0317,0.00095,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
7.89,,0.0265,0.00079,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
7.22,,0.0222,0.00067,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
6.44,,0.0167,0.0005,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
5.6,,0.0135,0.0004,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
4.55,,0.0077,0.00023,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
3.14,,0.0053,0.00016,57Log1,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
12.62,,0.0796,0.0024,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
12.27,,0.0749,0.0022,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
11.84,,0.0704,0.0021,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
11.35,,0.064,0.0019,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
10.83,,0.0547,0.0016,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
10.3,,0.0479,0.0014,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
9.71,,0.0432,0.0013,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
9.1,,0.0358,0.0011,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
8.47,,0.0325,0.00097,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
7.89,,0.0275,0.00082,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
7.22,,0.0212,0.00064,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
6.44,,0.0165,0.00049,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
5.6,,0.0129,0.00039,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
4.55,,0.0079,0.00024,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
3.14,,0.0054,0.00016,57Log2,"Logan, J.; Clement, J.; Jeffers, H. (1957) Physical Review, pp 1435-1437",vacuum,Heat capacity at constant pressure Cp,,,
80,,12.49761,0.37,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
90,,14.00385,0.42,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
100,,15.32181,0.46,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
110,,16.5268,0.5,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
120,,17.66066,0.53,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
130,,18.61043,0.56,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
